SMILES,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Charge,Covalent_Unit_Count,es_natural
CCCN\1C2=CC=CC=C2S/C1=C\C=C\C=C\C3=[N+](C4=CC=CC=C4S3)CCC.[I-],546.5,60.7,564,,30,0,4,0,2,True
CCCCCCCCN(CCCCCCCC)C1=CC2=C(C=C1)C=C(C=C2)/C=C/C3=CC=[N+](C=C3)CCCS(=O)(=O)[O-],592.9,72.7,789,10.6,42,0,4,0,1,True
CCN\1C2=CC=CC=C2O/C1=C\C=C\C3=[N+](C4=CC=CC=C4O3)CC.[I-],460.3,29.5,474,,26,0,4,0,2,True
CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N6CCN(CC6)C.Cl.Cl.Cl,561.9,73.1,664,,37,5,5,0,4,True
CC(=O)C1=CC2=CC3=C4C(=C2OC1=O)CCCN4CCC3,283.32,46.6,512,2.7,21,0,4,0,1,True
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Cl)O)CN(CC5=CC=CC=N5)CC6=CC=CC=N6)CN(CC7=CC=CC=N7)CC8=CC=CC=N8)Cl)C(=O)O,823.7,142.0,1540,3.2,59,2,11,0,1,True
[C-]#[O+].C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C=C4)C9=CC=CC=C9)[N-]3.[Ru+2],741.8,27.7,1340,,51,0,5,0,3,True
CC(C)(C)C1=CC2=NC3=C(C=C(N3)N=C4C(=CC(=N4)N=C5C(=CC(=N5)N=C1N2)C(C)(C)C)C(C)(C)C)C(C)(C)C,538.7,109.0,879,8.4,40,2,6,0,1,True
CC(C)(C)C1=CC2=CC3=C(C=C2C=C1)C4=NC5=NC(=NC6=C7C=C8C=C(C=CC8=CC7=C([N-]6)N=C9C1=C(C=C2C=CC(=CC2=C1)C(C)(C)C)C(=N9)N=C3[N-]4)C(C)(C)C)C1=C5C=C2C=C(C=CC2=C1)C(C)(C)C.[Zn+2],1002.6,76.2,2160,,73,0,4,0,2,True
C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=CC(=C(C4=C3N=C5C(=C(C(=O)C(=C5O4)C)N)C(=O)N[C@H]6[C@H](OC(=O)C(N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)C)N,1270.4,382.0,3070,3.1,91,6,19,0,1,True
C1=CC=C2C(=C1)C3=NC4=C5C=CC=CC5=C6N4[Al]N7C(=NC2=N3)C8=CC=CC=C8C7=NC9=NC(=N6)C1=CC=CC=C19.O,557.5,83.3,1160,,42,1,3,0,2,True
CN(C)C(=[N+](C)C)SCC1=CC2=C(C=C1)C3=NC4=NC(=NC5=C6C=C(C=CC6=C([N-]5)N=C7C8=C(C=CC(=C8)CSC(=[N+](C)C)N(C)C)C(=N7)N=C2[N-]3)CSC(=[N+](C)C)N(C)C)C9=C4C=C(C=C9)CSC(=[N+](C)C)N(C)C.[Cl-].[Cl-].[Cl-].[Cl-].[Cu+2],1298.9,202.0,2270,,81,0,12,0,6,True
C1=CC=NC(=C1)N=NC2=C(C=C(C=C2)O)[O-].O.[Na+],255.2,81.9,253,,18,2,6,0,3,True
CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4,612.7,187.0,1080,2.8,45,5,7,0,1,True
C1=CC=C2C(=C1)C3=NC4=C5C=CC=CC5=C6N4[Sn](=O)N7C(=NC2=N3)C8=CC=CC=C8C7=NC9=NC(=N6)C1=CC=CC=C19,647.2,99.4,1230,,42,0,3,0,1,True
CC(C)(C)C1=CC2=C(C=C1)C3=NC4=NC(=NC5=C6C=C(C=CC6=C([N-]5)N=C7C8=C(C=CC(=C8)C(C)(C)C)C(=N7)N=C2[N-]3)C(C)(C)C)C9=C4C=C(C=C9)C(C)(C)C.[Zn+2],802.3,76.2,1640,,57,0,4,0,2,True
C12=C(C(=C(C(=C1F)F)F)F)C3=NC4=NC(=NC5=C6C(=C([N-]5)N=C7C8=C(C(=C(C(=C8F)F)F)F)C(=N7)N=C2[N-]3)C(=C(C(=C6F)F)F)F)C9=C4C(=C(C(=C9F)F)F)F.[Cu+2],863.9,76.2,1590,,57,0,20,0,2,True
CCCCCCCCOC1=CC2=C3[N-]C(=C2C=C1OCCCCCCCC)N=C4C5=CC(=C(C=C5C(=N4)N=C6C7=CC(=C(C=C7C(=NC8=NC(=N3)C9=CC(=C(C=C98)OCCCCCCCC)OCCCCCCCC)[N-]6)OCCCCCCCC)OCCCCCCCC)OCCCCCCCC)OCCCCCCCC.[Cu+2],1601.8,150.0,2340,,113,0,12,0,2,True
CCN\1C2=CC=CC=C2O/C1=C\C=C\C=C\C3=[N+](C4=CC=CC=C4O3)CC.[I-],486.3,29.5,537,,28,0,4,0,2,True
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C3=NC4=NC(=NC5=C6C(=C([N-]5)N=C7C8=C(C(=C(C(=C8Cl)Cl)Cl)Cl)C(=N7)N=C2[N-]3)C(=C(C(=C6Cl)Cl)Cl)Cl)C9=C4C(=C(C(=C9Cl)Cl)Cl)Cl.[Fe+2],1119.5,76.2,1590,,57,0,4,0,2,True
CCN(CC)C1=CC=C(C=C1)/C=C/C2=CC=[N+](C=C2)C.[I-],394.3,7.1,280,,21,0,2,0,2,True
CCCN\1C2=CC=CC=C2S/C1=C/C=C/C=C/C3=[N+](C4=CC=CC=C4S3)CCC.[I-],546.5,60.7,564,,30,0,4,0,2,True
C[N+]1=CC=CC=C1/C=C/C2=CC=C(C=C2)N(C)C,239.33,7.1,264,3.4,18,0,1,1,1,True
C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C=C4)C9=CC=CC=C9)[N-]3.[Ni+2],671.4,26.7,1330,,49,0,4,0,2,True
C1=CC=C2C(=C1)C3=NC4=C5C=CC=CC5=C6N4[Si](N7C(=NC2=N3)C8=CC=CC=C8C7=NC9=NC(=N6)C1=CC=CC=C19)(Cl)Cl,611.5,82.3,1240,,43,0,2,0,1,True
CC1=C(C2=C(C=C1)N=C(S2)C3=CC4=C(C=C3)N=C(S4)C5=CC=C(C=C5)N)S(=O)(=O)[O-].[Na+],475.5,174.0,731,,31,1,8,0,2,True
C1=CC=C(C=C1)C2=C(C(=O)ON2)/C=C/C=C/C=C\3/C(=NOC3=O)C4=CC=CC=C4,384.4,77.0,807,5.2,29,1,6,0,1,True
C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C=C4)C9=CC=CC=C9)[N-]3.[Co+2],671.7,26.7,1330,,49,0,4,0,2,True
C1=CC2=C(C3=NC(=C(C4=CC=C([N-]4)C(=C5C=CC(=N5)C(=C1[N-]2)C6=CC=NC=C6)C7=CC=NC=C7)C8=CC=NC=C8)C=C3)C9=CC=NC=C9.[Zn+2],682.1,78.3,1350,,49,0,8,0,2,True
